id,title,url,subtitle,rating,reviews,hours,lectures,level,currentPrice,originalPrice
75,Learn Data Structures & Algorithms for Interviews - PART 1,https://www.udemy.com/course/learn-data-structures-algorithms-java/,"Master Time Complexities, Recursion, Linked Lists, Stacks, Queues, Heaps, HashMaps, Arrays, Sort and Search <strong>Algorithms</strong>",4.6,5390,10.0,90,All Levels,"249,000","₫399,000"
76,Data Structures and Algorithms: From Zero to Hero,https://www.udemy.com/course/data-structures-and-algorithms-from-zero-to-hero/,Learn how to solve modern computing problems with <strong>data</strong> <strong>structures</strong> and <strong>algorithms</strong>.,3.7,518,7.5,56,All Levels,"249,000","₫399,000"
77,Advanced Algorithms (Graph Algorithms) in Java,https://www.udemy.com/course/advanced-algorithms-in-java/,"Breadth-First Search, Depth-First Search, Shortest Path, Arbitrage, Strongly Connected Components and Maximum Flow",4.4,51297,12.5,105,All Levels,"299,000","₫1,099,000"
78,"Discrete Structures, Data Structures, and Algorithms",https://www.udemy.com/course/discrete-structures-and-applications/,Foundations of Computing,3.9,575,29.0,112,All Levels,"399,000",0
79,Data Structures and Algorithms,https://www.udemy.com/course/data-structures-and-algorithms-z/,<strong>Data</strong> <strong>Structures</strong> operations and Analysing <strong>Algorithms</strong>,4.3,5172,5.5,27,Beginner,"299,000","₫449,000"
80,"Master Data Structures , Algorithms & Interview using C++",https://www.udemy.com/course/master-data-structures-algorithms-interview-using-c/,"Learn about Arrays, Linked Lists, Trees, Stacks, Queues, Heaps, Search <strong>data</strong> <strong>structure</strong> <strong>algorithms</strong>,Interview Preparation",5.0,51,13.0,72,All Levels,"249,000","₫399,000"
81,Data structure and algorithms using C,https://www.udemy.com/course/data-structure-and-algorithms-course-for-beginners/,Learn DSA in languages C,3.9,556,2.0,28,Intermediate,0,0
82,Data Structures And Algorithms In Real World - Part 1,https://www.udemy.com/course/data-structures-and-algorithms-in-real-world-part-1/,Understand Merkle tree By Building A Mini Git In JavaScript,4.7,540,1.5,15,Beginner,0,0
83,Data Structures and Algorithms using C++,https://www.udemy.com/course/data-structures-and-algorithms-using-c/,DSA for cracking the coding interview. Learn Recursion and sorting. mastering in DSA and OOP,3.6,524,,7,All Levels,0,0
84,Data Structures and Algorithms In C++,https://www.udemy.com/course/data-structures-and-algorithms-in-c-z/,"Fundamentals with hands on coding sessions , Learn about <strong>Data</strong> <strong>Structures</strong>, Containers , NTL , <strong>Algorithms</strong>",3.6,593,1.5,15,Intermediate,0,0
85,Google coding interviews on Data structure and Algorithms,https://www.udemy.com/course/datastructure/,The pro-programmer series,4.3,5202,,9,Beginner,0,0
86,Data Structures & Algorithms in Python - Coding Interview,https://www.udemy.com/course/data-structures-algorithms-in-python-coding-interview/,Learn all the <strong>data</strong> <strong>structures</strong> and <strong>algorithms</strong> in a simplified way. Practice questions and master coding interviews.,3.7,5115,1.5,17,Beginner,0,0
87,Understanding Data Structures using C#,https://www.udemy.com/course/understanding-data-structures-using-c/,Learn <strong>Data</strong> <strong>structure</strong> and <strong>algorithms</strong> using C#,3.4,593,1.5,23,All Levels,0,0
88,A Quick Introduction to Algorithms,https://www.udemy.com/course/a-quick-introduction-to-algorithms/,"<strong>Algorithms</strong>, <strong>Data</strong> <strong>Structures</strong>",4.5,532,1.5,16,Beginner,0,0
89,Introduction to Algorithms and Data structures in C++,https://www.udemy.com/course/introduction-to-algorithms-and-data-structures-in-c/,A step-by-step guide with solved problems. I'm teaching visually with lots of examples.,4.4,56820,3.5,39,Beginner,0,0
90,Introduction to Data Structures,https://www.udemy.com/course/introduction-to-data-structures-y/,Learn the basic concepts of <strong>data</strong> <strong>structure</strong> in easy way,3.6,5279,,8,Beginner,0,0
91,Introduction to programming using Python.,https://www.udemy.com/course/learn_py/,"python programming, python fundamentals, <strong>data</strong> <strong>structures</strong> and <strong>algorithms</strong> in python, python foundation.",4.6,517,,13,Beginner,0,0
